warehouse_code,region_code,id,delivery_date,AÃ±o,Mes,product_id,sku,name,supplier_id,price,quantity,Unidad de compra,Precio por kilo,Cadena2,Cadena1,AVERAGE de Precio promedio por kilogramo*,Surplus
BAQ,BAQ,10475443,10/01/2023,2023,1,100,BAQ-FRU1-CAT1-2:42:99:100,Aguacate Maduro - Kg,383,10000,10,1,10000,2023-1-Aguacate Maduro - Kg,NA,5496,81.95%
BAQ,BAQ,11445810,1/04/2023,2023,4,100,BAQ-FRU1-CAT1-2:42:99:100,Aguacate Maduro - Kg,383,7000,50,1,7000,2023-4-Aguacate Maduro - Kg,NA,5572,25.63%
BAQ,BAQ,11460941,3/04/2023,2023,4,100,BAQ-FRU1-CAT1-2:42:99:100,Aguacate Maduro - Kg,383,7000,40,1,7000,2023-4-Aguacate Maduro - Kg,NA,5572,25.63%
BAQ,BAQ,11508565,10/04/2023,2023,4,100,BAQ-FRU1-CAT1-2:42:99:100,Aguacate Maduro - Kg,383,7000,60,1,7000,2023-4-Aguacate Maduro - Kg,NA,5572,25.63%
BAQ,BAQ,11514234,11/04/2023,2023,4,100,BAQ-FRU1-CAT1-2:42:99:100,Aguacate Maduro - Kg,382,7000,60,1,7000,2023-4-Aguacate Maduro - Kg,NA,5572,25.63%
BAQ,BAQ,11527456,12/04/2023,2023,4,100,BAQ-FRU1-CAT1-2:42:99:100,Aguacate Maduro - Kg,382,7500,60,1,7500,2023-4-Aguacate Maduro - Kg,NA,5572,34.60%
BAQ,BAQ,11541740,13/04/2023,2023,4,100,BAQ-FRU1-CAT1-2:42:99:100,Aguacate Maduro - Kg,382,7500,100,1,7500,2023-4-Aguacate Maduro - Kg,NA,5572,34.60%
BAQ,BAQ,11562983,15/04/2023,2023,4,100,BAQ-FRU1-CAT1-2:42:99:100,Aguacate Maduro - Kg,382,7500,30,1,7500,2023-4-Aguacate Maduro - Kg,NA,5572,34.60%
BAQ,BAQ,11691738,1/05/2023,2023,5,100,BAQ-FRU1-CAT1-2:42:99:100,Aguacate Maduro - Kg,383,7000,42,1,7000,2023-5-Aguacate Maduro - Kg,NA,4771,46.72%
BAQ,BAQ,8010918,10/08/2022,2022,8,101,BAQ-FRU1-CAT1-2:42:99:101,Aguacate PintÃ³n - Kg,1062,5400,5,1,5400,2022-8-Aguacate PintÃ³n - Kg,NA,4158,29.87%
BAQ,BAQ,9278145,21/10/2022,2022,10,101,BAQ-FRU1-CAT1-2:42:99:101,Aguacate PintÃ³n - Kg,383,6500,30,1,6500,2022-10-Aguacate PintÃ³n - Kg,NA,4494,44.64%
BAQ,BAQ,9862057,27/11/2022,2022,11,101,BAQ-FRU1-CAT1-2:42:99:101,Aguacate PintÃ³n - Kg,5147,5980,100,1,5980,2022-11-Aguacate PintÃ³n - Kg,NA,4684,27.67%
