shelf life,age,waste_percentage (%)
1,1,50.28
1,2,75.27
1,3,87.71
1,4,93.89
1,5,96.96
1,6,98.49
1,7,99.25
1,8,99.63
1,9,99.81
1,10,99.91
1,11,99.95
1,12,99.98
1,13,99.99
1,14,99.99
1,15,100.0
1,16,100.0
1,17,100.0
1,18,100.0
1,19,100.0
1,20,100.0
1,21,100.0
1,22,100.0
1,23,100.0
1,24,100.0
1,25,100.0
1,26,100.0
1,27,100.0
1,28,100.0
1,29,100.0
1,30,100.0
1,31,100.0
1,32,100.0
1,33,100.0
1,34,100.0
1,35,100.0
1,36,100.0
1,37,100.0
1,38,100.0
1,39,100.0
1,40,100.0
1,41,100.0
1,42,100.0
1,43,100.0
1,44,100.0
1,45,100.0
1,46,100.0
1,47,100.0
1,48,100.0
1,49,100.0
1,50,100.0
1,51,100.0
1,52,100.0
1,53,100.0
1,54,100.0
1,55,100.0
1,56,100.0
1,57,100.0
1,58,100.0
1,59,100.0
1,60,100.0
1,61,100.0
1,62,100.0
1,63,100.0
1,64,100.0
1,65,100.0
1,66,100.0
1,67,100.0
1,68,100.0
1,69,100.0
1,70,100.0
1,71,100.0
1,72,100.0
1,73,100.0
1,74,100.0
1,75,100.0
1,76,100.0
1,77,100.0
1,78,100.0
1,79,100.0
1,80,100.0
1,81,100.0
1,82,100.0
1,83,100.0
1,84,100.0
1,85,100.0
1,86,100.0
1,87,100.0
1,88,100.0
1,89,100.0
2,1,20.67
2,2,37.07
2,3,50.08
2,4,60.4
2,5,68.59
2,6,75.08
2,7,80.23
2,8,84.32
2,9,87.56
2,10,90.13
2,11,92.17
2,12,93.79
2,13,95.08
2,14,96.09
2,15,96.9
2,16,97.54
2,17,98.05
2,18,98.45
2,19,98.77
2,20,99.03
2,21,99.23
2,22,99.39
2,23,99.51
2,24,99.61
2,25,99.69
2,26,99.76
2,27,99.81
2,28,99.85
2,29,99.88
2,30,99.9
2,31,99.92
2,32,99.94
2,33,99.95
2,34,99.96
2,35,99.97
2,36,99.98
2,37,99.98
2,38,99.98
2,39,99.99
2,40,99.99
2,41,99.99
2,42,99.99
2,43,100.0
2,44,100.0
2,45,100.0
2,46,100.0
2,47,100.0
2,48,100.0
2,49,100.0
2,50,100.0
2,51,100.0
2,52,100.0
2,53,100.0
2,54,100.0
2,55,100.0
2,56,100.0
2,57,100.0
2,58,100.0
2,59,100.0
2,60,100.0
2,61,100.0
2,62,100.0
2,63,100.0
2,64,100.0
2,65,100.0
2,66,100.0
2,67,100.0
2,68,100.0
2,69,100.0
2,70,100.0
2,71,100.0
2,72,100.0
2,73,100.0
2,74,100.0
2,75,100.0
2,76,100.0
2,77,100.0
2,78,100.0
2,79,100.0
2,80,100.0
2,81,100.0
2,82,100.0
2,83,100.0
2,84,100.0
2,85,100.0
2,86,100.0
2,87,100.0
2,88,100.0
2,89,100.0
3,1,10.92
3,2,20.65
3,3,29.32
3,4,37.04
3,5,43.92
3,6,50.05
3,7,55.5
3,8,60.36
3,9,64.69
3,10,68.55
3,11,71.98
3,12,75.05
3,13,77.77
3,14,80.2
3,15,82.36
3,16,84.29
3,17,86.01
3,18,87.53
3,19,88.9
3,20,90.11
3,21,91.19
3,22,92.15
3,23,93.01
3,24,93.77
3,25,94.45
3,26,95.06
3,27,95.6
3,28,96.08
3,29,96.51
3,30,96.89
3,31,97.23
3,32,97.53
3,33,97.8
3,34,98.04
3,35,98.26
3,36,98.45
3,37,98.62
3,38,98.77
3,39,98.9
3,40,99.02
3,41,99.13
3,42,99.22
3,43,99.31
3,44,99.38
3,45,99.45
3,46,99.51
3,47,99.56
3,48,99.61
3,49,99.65
3,50,99.69
3,51,99.73
3,52,99.76
3,53,99.78
3,54,99.81
3,55,99.83
3,56,99.85
3,57,99.86
3,58,99.88
3,59,99.89
3,60,99.9
3,61,99.91
3,62,99.92
3,63,99.93
3,64,99.94
3,65,99.95
3,66,99.95
3,67,99.96
3,68,99.96
3,69,99.97
3,70,99.97
3,71,99.97
3,72,99.98
3,73,99.98
3,74,99.98
3,75,99.98
3,76,99.98
3,77,99.99
3,78,99.99
3,79,99.99
3,80,99.99
3,81,99.99
3,82,99.99
3,83,99.99
3,84,99.99
3,85,99.99
3,86,100.0
3,87,100.0
3,88,100.0
3,89,100.0
4,1,6.7
4,2,12.96
4,3,18.79
4,4,24.23
4,5,29.31
4,6,34.05
4,7,38.47
4,8,42.59
4,9,46.44
4,10,50.03
4,11,53.38
4,12,56.5
4,13,59.42
4,14,62.14
4,15,64.68
4,16,67.05
4,17,69.25
4,18,71.31
4,19,73.24
4,20,75.03
4,21,76.7
4,22,78.27
4,23,79.72
4,24,81.08
4,25,82.35
4,26,83.53
4,27,84.64
4,28,85.67
4,29,86.63
4,30,87.52
4,31,88.36
4,32,89.14
4,33,89.87
4,34,90.55
4,35,91.18
4,36,91.77
4,37,92.32
4,38,92.84
4,39,93.32
4,40,93.77
4,41,94.18
4,42,94.57
4,43,94.94
4,44,95.28
4,45,95.59
4,46,95.89
4,47,96.16
4,48,96.42
4,49,96.66
4,50,96.88
4,51,97.09
4,52,97.29
4,53,97.47
4,54,97.64
4,55,97.8
4,56,97.95
4,57,98.08
4,58,98.21
4,59,98.33
4,60,98.44
4,61,98.55
4,62,98.65
4,63,98.74
4,64,98.82
4,65,98.9
4,66,98.97
4,67,99.04
4,68,99.11
4,69,99.17
4,70,99.22
4,71,99.27
4,72,99.32
4,73,99.37
4,74,99.41
4,75,99.45
4,76,99.49
4,77,99.52
4,78,99.55
4,79,99.58
4,80,99.61
4,81,99.64
4,82,99.66
4,83,99.68
4,84,99.71
4,85,99.73
4,86,99.74
4,87,99.76
4,88,99.78
4,89,99.79
5,1,4.52
5,2,8.83
5,3,12.95
5,4,16.89
5,5,20.64
5,6,24.23
5,7,27.65
5,8,30.92
5,9,34.04
5,10,37.02
5,11,39.87
5,12,42.59
5,13,45.18
5,14,47.66
5,15,50.02
5,16,52.28
5,17,54.44
5,18,56.5
5,19,58.46
5,20,60.34
5,21,62.13
5,22,63.84
5,23,65.48
5,24,67.04
5,25,68.53
5,26,69.95
5,27,71.31
5,28,72.6
5,29,73.84
5,30,75.02
5,31,76.15
5,32,77.23
5,33,78.26
5,34,79.24
5,35,80.18
5,36,81.08
5,37,81.93
5,38,82.75
5,39,83.53
5,40,84.27
5,41,84.98
5,42,85.66
5,43,86.31
5,44,86.93
5,45,87.52
5,46,88.08
5,47,88.62
5,48,89.14
5,49,89.63
5,50,90.09
5,51,90.54
5,52,90.97
5,53,91.38
5,54,91.77
5,55,92.14
5,56,92.49
5,57,92.83
5,58,93.16
5,59,93.47
5,60,93.76
5,61,94.04
5,62,94.31
5,63,94.57
5,64,94.82
5,65,95.05
5,66,95.27
5,67,95.49
5,68,95.69
5,69,95.89
5,70,96.07
5,71,96.25
5,72,96.42
5,73,96.58
5,74,96.74
5,75,96.88
5,76,97.02
5,77,97.16
5,78,97.29
5,79,97.41
5,80,97.53
5,81,97.64
5,82,97.74
5,83,97.85
5,84,97.94
5,85,98.04
5,86,98.13
5,87,98.21
5,88,98.29
5,89,98.37
6,1,3.25
6,2,6.39
6,3,9.43
6,4,12.38
6,5,15.22
6,6,17.98
6,7,20.64
6,8,23.22
6,9,25.71
6,10,28.13
6,11,30.46
6,12,32.72
6,13,34.91
6,14,37.02
6,15,39.07
6,16,41.05
6,17,42.96
6,18,44.81
6,19,46.61
6,20,48.34
6,21,50.02
6,22,51.64
6,23,53.21
6,24,54.73
6,25,56.21
6,26,57.63
6,27,59.0
6,28,60.34
6,29,61.63
6,30,62.87
6,31,64.08
6,32,65.24
6,33,66.37
6,34,67.47
6,35,68.52
6,36,69.55
6,37,70.54
6,38,71.49
6,39,72.42
6,40,73.31
6,41,74.18
6,42,75.02
6,43,75.83
6,44,76.62
6,45,77.38
6,46,78.11
6,47,78.82
6,48,79.51
6,49,80.18
6,50,80.82
6,51,81.44
6,52,82.05
6,53,82.63
6,54,83.19
6,55,83.74
6,56,84.27
6,57,84.78
6,58,85.27
6,59,85.75
6,60,86.21
6,61,86.66
6,62,87.1
6,63,87.52
6,64,87.92
